"UNLOCODE","NOMLOCALITAT","ISOPAIS","NOMPAIS","AREGEOGRAFICA","NOMAREAGEOGRAFICA"
"ARPBG","Puerto Belgrano/Bahia Blanca","AR","Argentina","18","South America (Atlantic)"
"ARPCO","Punta Colorada","AR","Argentina","18","South America (Atlantic)"
"ARPCY","Pilcomayo","AR","Argentina","18","South America (Atlantic)"
"ARPEL","Pto Eldorado                       ","AR","Argentina","18","South America (Atlantic)"
"ARPGV","Puerto Galvan/Bahia Blanca","AR","Argentina","18","South America (Atlantic)"
"ARPLA","Pto Lavalle                        ","AR","Argentina","18","South America (Atlantic)"
"ARPLO","Punta Loyola","AR","Argentina","18","South America (Atlantic)"
"ARPME","Punta Medanos                      ","AR","Argentina","18","South America (Atlantic)"
"ARPMY","Puerto Madryn","AR","Argentina","18","South America (Atlantic)"
"ARPNL","Puerto Nacional/Bahia Blanca","AR","Argentina","18","South America (Atlantic)"
"ARPQU","Punta Quilla","AR","Argentina","18","South America (Atlantic)"
"ARPRA","Parana","AR","Argentina","18","South America (Atlantic)"
"ARPRS","Puerto Rosales/Bahia Blanca","AR","Argentina","18","South America (Atlantic)"
"ARPSS","Posadas","AR","Argentina","18","South America (Atlantic)"
"ARPUB","Puerto Borghi","AR","Argentina","18","South America (Atlantic)"
"ARPUD","Puerto Deseado","AR","Argentina","18","South America (Atlantic)"
"ARPWA","Pto Wanda                          ","AR","Argentina","18","South America (Atlantic)"
"ARQBR","Quebracho/San Lorenzo              ","AR","Argentina","18","South America (Atlantic)"
"ARQQN","Quequen","AR","Argentina","18","South America (Atlantic)"
"ARRAM","Ramallo","AR","Argentina","18","South America (Atlantic)"
"ARRFO","Rosario de la Frontera             ","AR","Argentina","18","South America (Atlantic)"
"ARRGA","Rio Grande","AR","Argentina","18","South America (Atlantic)"
"ARRGL","Rio Gallegos","AR","Argentina","18","South America (Atlantic)"
"ARRIC","Rio Cullen                         ","AR","Argentina","18","South America (Atlantic)"
"ARRIV","Rivadavia                          ","AR","Argentina","18","South America (Atlantic)"
"ARROC","Puerto Ingeniero M. Rocca          ","AR","Argentina","18","South America (Atlantic)"
"ARROS","Rosario","AR","Argentina","18","South America (Atlantic)"
"ARRSF","Resinfor                           ","AR","Argentina","18","South America (Atlantic)"
"ARRWO","Rawson                             ","AR","Argentina","18","South America (Atlantic)"
"ARRZA","Santa Cruz","AR","Argentina","18","South America (Atlantic)"
"ARSAE","San Antonio Este","AR","Argentina","18","South America (Atlantic)"
"ARSAN","Santa Ana                          ","AR","Argentina","18","South America (Atlantic)"
"ARSCA","San Carlos","AR","Argentina","18","South America (Atlantic)"
"ARSFE","San Fernando","AR","Argentina","18","South America (Atlantic)"
"ARSFN","Santa Fe","AR","Argentina","18","South America (Atlantic)"
"ARSIG","San Ignacio                        ","AR","Argentina","18","South America (Atlantic)"
"ARSLO","San Lorenzo","AR","Argentina","18","South America (Atlantic)"
"ARSMA","San Martin                         ","AR","Argentina","18","South America (Atlantic)"
"ARSMR","San Martin                         ","AR","Argentina","18","South America (Atlantic)"
"ARSNS","San Nicolas de los Arroyos","AR","Argentina","18","South America (Atlantic)"
"ARSPD","San Pedro","AR","Argentina","18","South America (Atlantic)"
"ARSSJ","San Salvador de Jujuy              ","AR","Argentina","18","South America (Atlantic)"
"ARSSN","San Sebastian","AR","Argentina","18","South America (Atlantic)"
"ARSTA","Santa Rosa                         ","AR","Argentina","18","South America (Atlantic)"
