_id,NOMVAIXELL,NUMLLOYDS,TIPUSVAIXELLLLOYDS,CALLSIGN,MMSI,PAISISO,PORTREGISTREISO,TIPVAIXELL,MAXCALAT,MAXESLORA,MAXMANIGA,NUMRAMPES
1497,CB BALTIC,9851701,Chemical/Products Tanker,CQAS5,255806263,PT,PTFNC,11,"10,5","182,81",32,
1498,CB CARIBIC,9851713,Chemical/Products Tanker,CQAS6,255806264,PT,PTFNC,11,"10,5","182,78",32,
1499,CB PACIFIC,9851725,Chemical/Products Tanker,CQAS7,255806265,PT,PTFNC,11,"10,5","182,78","31,99",
1500,CCL HUMBER,9349459,General Cargo Ship,YLPI,275498000,LV,LVRIX,13,"8,22","107,03","18,2",
1501,CDRY BLACK,9504633,General Cargo Ship,ICRT,247310200,IT,ITNAP,13,"7,06","108,19","18,2",
1502,CDRY BLUE,9504619,"",ICOB,247289300,IT,ITNAP,13,"7,06","108,2","18,2",
1503,CDRY BROWN,9469302,General Cargo Ship,ICOI,247292400,IT,ITNAP,13,"7,06","108,19","18,2",
1504,CDRY WHITE,9365506,General Cargo Ship,ICAE,247285600,IT,ITNAP,13,"7,06","108,19","18,2",
1505,CECILIA,9467952,Bulk Carrier,D5JB6,636017052,LR,LRMLW,12,"9,97","178,9","28,8",
1506,CECILIA PAYNE,9188881,Passenger/Ro-Ro Ship (Vehicles),C4HR2,209122000,CY,CYLMS,15,"3,39","86,6",24,2
1507,CEDAR,9426491,Chemical/Products Tanker,CNA5739,242147400,MA,MATNG,11,7,"99,78",18,
1508,CEDAR EXPRESS,9447770,Chemical/Products Tanker,V7A2418,538008487,MH,MHMAJ,11,"13,03","183,3","32,2",
1509,CEDERBORG,9356567,General Cargo Ship,PCJX,246782000,NL,NLDZL,13,"5,83","89,97","14,4",
1510,CELEBRITY APEX,9838383,Passenger/Cruise,9HA4960,215105000,MT,MTMLA,16,"8,4",306,39,
1511,CELEBRITY BEYOND,9838395,Passenger/Cruise,9HA5296,215808000,MT,MTMLA,16,"8,5","326,5",39,
1512,CELEBRITY CONSTELLATION,9192399,Passenger/Cruise,9HJB9,249046000,MT,MTMLA,16,"8,32",294,"32,2",
1513,CELEBRITY ECLIPSE,9404314,Passenger/Cruise,9HXC9,249666000,MT,MTMLA,16,"8,62","317,14","36,8",
1514,CELEBRITY EDGE,9812705,Passenger/Cruise,9HA4612,248325000,MT,MTMLA,16,"8,43",306,39,
1515,CELEBRITY EQUINOX,9372456,Passenger/Cruise,9HXD9,249667000,MT,MTMLA,16,"8,62","317,2","36,8",
1516,CELEBRITY INFINITY,9189421,Passenger/Cruise,9HJD9,249048000,MT,MTMLA,16,"8,3",294,"32,2",
1517,CELEBRITY REFLECTION,9506459,Passenger/Cruise,9HA3047,,MT,MTMLA,16,"8,6",319,38,
1518,CELEBRITY SILHOUETTE,9451094,Passenger/Cruise,9HA2583,248939000,MT,MTMLA,16,"8,62",319,"36,8",
1519,CELEBRITY SOLSTICE,9362530,Passenger/Cruise,9HRJ9,249409000,MT,MTMLA,16,"8,7","317,19","36,79",
1520,CELESTIA,9258997,General Cargo Ship,3E3589,352980874,PA,PAPTY,13,"7,33","142,69","18,25",
1521,CELESTYAL CRYSTAL,7827213,Passenger/Cruise,9HA2978,229001000,MT,MTMLA,16,"5,91","158,88","25,18",
1522,CELESTYAL EXPERIENCE,8821046,"",5BNY5,210038000,CY,CYLMS,16,"7,6","220,52","30,8",
1523,CELESTYAL JOURNEY,8919269,Passenger/Cruise,ZCHB2,310811000,BM,BMBDA,16,"7,72","219,21","30,8",
1524,CELESTYAL OLYMPIA,7927984,Passenger/Cruise,9HA3027,229051000,MT,MTMLA,16,7,"214,51","28,41",
1525,CELIK 1,9430791,General Cargo Ship,9HKY9,249114000,MT,MTMLA,13,"6,2","120,8","17,6",
1526,CELINA,9019200,General Cargo Ship,V2GV5,304099000,AG,AGSJO,13,"6,76","104,4","16,2",
1527,CELINE,9508653,General Cargo Ship,D5HO7,636016747,LR,LRMLW,13,"6,32","89,95","15,41",
1528,CELINE C,9463566,General Cargo Ship,MDVY5,232018037,GB,GBCOW,13,"8,06","138,11",21,
1529,CELSIUS BIRDIE,9423724,Chemical/Products Tanker,V7SJ7,538003667,MH,MHMAJ,11,"9,97","157,06","26,56",
1530,CELSIUS BOSTON,9315355,Container Ship (Fully Cellular),V7A4946,538009604,MH,MHMAJ,17,"12,3","246,86","32,2",
1531,CELSIUS CANBERRA,9864796,LNG Tanker,V7A4348,538009123,MH,MHMAJ,14,"12,02","299,16","45,8",
1532,CELSIUS CAROLINA,9878723,LNG Tanker,V7A4385,538009151,MH,MHMAJ,14,"12,2",299,"45,8",
1533,CELSIUS COPENHAGEN,9864784,LNG Tanker,V7A4207,538009022,MH,MHMAJ,14,"12,02","299,16","45,8",
1534,CELSIUS EAGLE,9423750,Chemical/Products Tanker,V7UB6,538003924,MH,MHMAJ,11,"9,97","157,06","26,6",
1535,CELSIUS LIVERPOOL,9445904,Container Ship (Fully Cellular),V7A4704,538009416,MH,MHMAJ,17,"12,5","212,48","32,2",
1536,CELSIUS LONDON,9303778,Container Ship (Fully Cellular),V7A4628,538009350,MH,MHMAJ,17,12,"222,53","32,2",
1537,CELSIUS MALAGA,9408803,Chemical/Products Tanker,V7QT5,538003434,MH,MHMAJ,11,"9,77","147,83","24,2",
1538,CELSIUS MAYFAIR,9358632,Chemical/Products Tanker,V7BU6,538005202,MH,MHMAJ,11,"9,63","144,09","24,19",
1539,CELSIUS MONACO,9309629,Chemical/Products Tanker,V7BF2,538005129,MH,MHMAJ,11,"9,42","147,83","24,2",
1540,CELSIUS MONTREAL,9423621,Chemical/Products Tanker,V7ZV6,538004924,MH,MHMAJ,11,"9,64","144,09","24,19",
1541,CELSIUS MUMBAI,9304332,Chemical/Products Tanker,V7CU2,538005324,MH,MHMAJ,11,"9,69","145,53","23,7",
1542,CELSIUS NAPLES,9400136,Container Ship (Fully Cellular),V7A4944,538009602,MH,MHMAJ,17,"13,5","274,98","32,2",
1543,CELSIUS NEW ORLEANS,9412842,Container Ship (Fully Cellular),V7A5284,538009878,MH,MHMAJ,17,"9,52","171,99","27,6",
1544,CELSIUS PORTO,9476812,Chemical/Products Tanker,V7XO2,538008064,MH,MHMAJ,11,"12,62","183,2","32,2",
1545,CELSIUS RAVENNA,9402809,Products Tanker,V7A2198,538008289,MH,MHMAJ,11,"12,62","182,5","32,2",
1546,CELSIUS ROME,9392389,Products Tanker,V7A2185,538008281,MH,MHMAJ,11,"12,07","179,88","32,2",
