_id,NOMVAIXELL,NUMLLOYDS,TIPUSVAIXELLLLOYDS,CALLSIGN,MMSI,PAISISO,PORTREGISTREISO,TIPVAIXELL,MAXCALAT,MAXESLORA,MAXMANIGA,NUMRAMPES
586,ARIANE MAKARA,9442548,Chemical/Products Tanker,9V7973,563405000,SG,SGSIN,11,"9,74","147,83","24,2",
587,ARIANNA,9406702,General Cargo Ship,9HA3860,256241000,MT,MTMLA,13,"7,7","140,3",20,
588,ARICA,9629495,Chemical/Products Tanker,CBAX,725001409,CL,CLVAP,11,"13,15",183,"32,2",
589,ARIELA,1010818,Yacht,ZGBD3,319883000,KY,"",23,"3,15","54,3",9,
590,ARIENCE,9563524,Yacht,ZGIR2,319162500,KY,"",23,"3,4","60,93","12,8",
591,ARIES,9123518,Container Ship (Fully Cellular),J8B5410,377523000,VC,VCKTN,17,"6,05","110,44","15,9",
592,ARIES J,9514767,Container Ship (Fully Cellular),CQRF,255803640,PT,PTFNC,17,8,"151,72","23,4",
593,ARIES LEADER,9676864,Vehicles Carrier,HPVD,370681000,PA,PAPTY,21,"10,43","199,98","35,8",2
594,ARIES PEARL,9362372,Chemical/Products Tanker,3EJX5,372639000,PA,PAPTY,11,"13,02",183,"32,2",
595,ARIF AMCA,9616084,General Cargo Ship,D5BJ2,636015530,LR,LRMLW,13,"7,81","131,71","18,9",
596,ARIN,9295048,Products Tanker,A8FH9,636012414,LR,LRMLW,11,"11,82","171,22","27,39",
597,ARIN 8,9209001,Chemical/Products Tanker,JZAR,525007247,ID,IDJKT,11,"7,75","112,5","18,8",
598,ARINA,8806163,General Cargo Ship,5BME3,210682000,CY,CYLMS,13,"5,88","104,81",16,
599,ARION,9232175,Bulk Carrier,P3QY9,210622000,CY,CYLMS,12,"12,49","189,99","32,26",
600,ARION,9314894,Chemical/Products Tanker,A8UG4,636014488,LR,LRMLW,11,"11,72","182,55","27,34",
601,ARIS T,9343895,Bulk Carrier,SVHY,240626000,GR,GRPIR,12,"14,7","229,5","36,92",
602,ARISTIDES N.P.,9043990,"",V7KT8,538002677,MH,MHMAJ,12,"13,22",225,"32,24",
603,ARISTO,9327413,Chemical/Products Tanker,5LJI7,636022549,LR,LRMLW,11,"11,48","184,02","27,4",
604,ARISTOMENIS,9408841,Container Ship (Fully Cellular),D5OA5,636018070,LR,LRMLW,17,"15,02","349,65","45,6",
605,ARISTONA,9536052,General Cargo Ship,CQOA,255801770,PT,PTFNC,13,"5,42","88,6","12,5",
606,ARK,8504260,General Cargo Ship,V3NL9,312037000,BZ,BZBZE,13,"4,5","87,91","12,7",
607,ARKADIA,9845300,Yacht,ZGKK2,319178800,KY,"",23,"2,6","49,59","8,6",
608,ARKLOW ABBEY,9851933,General Cargo Ship,EIVV4,250005693,IE,IEARK,13,"7,19","120,45","14,99",
609,ARKLOW ACCORD,9851945,General Cargo Ship,EIWJ8,250005849,IE,IEARK,13,"7,19","120,45","14,99",
610,ARKLOW ACE,9851957,General Cargo Ship,EIWR7,250005913,IE,IEARK,13,"7,19","120,45","14,99",
611,ARKLOW ARCHER,9851969,General Cargo Ship,EIWY5,250005981,IE,IEARK,13,"7,19","120,45","14,99",
612,ARKLOW BANK,9638769,General Cargo Ship,PCWW,244810323,NL,NLRTM,13,"7,19","119,5","14,99",
613,ARKLOW BAY,9638771,General Cargo Ship,PBPI,244700336,NL,NLRTM,13,"7,19","119,49","14,99",
614,ARKLOW BEACH,9638783,General Cargo Ship,PCVD,244820165,NL,NLRTM,13,"7,19","119,49","14,99",
615,ARKLOW BEACON,9638795,General Cargo Ship,PBVX,244830098,NL,NLRTM,13,"7,19","119,5","14,99",
616,ARKLOW BRAVE,9638800,General Cargo Ship,PBPR,244730944,NL,NLRTM,13,"7,19","119,49","14,99",
617,ARKLOW BREEZE,9638812,General Cargo Ship,PCZP,244850075,NL,NLRTM,13,"7,19","119,49","14,99",
618,ARKLOW CADET,9757084,General Cargo Ship,EIRP3,250004022,IE,IEARK,13,"6,26","87,4","14,99",
619,ARKLOW CAPE,9757096,General Cargo Ship,EISA9,250004214,IE,IEARK,13,"6,26","87,4","14,99",
620,ARKLOW CASTLE,9757101,General Cargo Ship,EISF6,250004289,IE,IEARK,13,"6,26","87,4","14,99",
621,ARKLOW CLAN,9757113,General Cargo Ship,EISK6,250004424,IE,IEARK,13,"6,26","87,4","14,99",
622,ARKLOW CLIFF,9757125,General Cargo Ship,EISS5,250004612,IE,IEARK,13,"6,26","87,4","14,99",
623,ARKLOW CLOUD,9757149,General Cargo Ship,EIZJ9,250006549,IE,IEARK,13,"6,25","86,8","14,99",
624,ARKLOW COVE,9757163,General Cargo Ship,EIA2023,250011434,IE,IEARK,13,"6,26","86,8","14,99",
625,ARKLOW FERN,9527661,General Cargo Ship,EIJW5,250002173,IE,IEARK,13,"6,28","89,95","14,4",
626,ARKLOW FIELD,9527673,General Cargo Ship,EIKQ4,250002286,IE,IEARK,13,"6,28","89,95","14,4",
627,ARKLOW FOREST,9527685,General Cargo Ship,EILN7,250002443,IE,IEARK,13,"6,28","89,95","14,4",
628,ARKLOW MANOR,9440241,General Cargo Ship,EIHC3,250001723,IE,IEARK,13,"8,48","136,47",21,
629,ARKLOW MARSH,9440253,General Cargo Ship,EIIX5,250002012,IE,IEARK,13,"8,48","136,47",21,
630,ARKLOW MEADOW,9440277,General Cargo Ship,EIJQ7,250002133,IE,IEARK,13,"8,48","136,47",21,
631,ARKLOW MILL,9440265,General Cargo Ship,EIJD9,250002045,IE,IEARK,13,"8,48","136,47",21,
632,ARKLOW MOOR,9509475,General Cargo Ship,EILM3,250002434,IE,IEARK,13,"8,48","136,47",21,
633,ARKLOW MUSE,9509487,General Cargo Ship,EINV3,250002821,IE,IEARK,13,"8,48","136,47",21,
634,ARKLOW RACER,9923217,General Cargo Ship,EIA2185,250013718,IE,IEARK,13,"6,5","104,93",15,
635,ARKLOW RAIDER,9344540,General Cargo Ship,EIXS,250001268,IE,IEARK,13,"6,1","89,99",14,
636,ARKLOW ROGUE,9344526,General Cargo Ship,EIGD,250000962,IE,IEARK,13,"6,1","89,99",14,
637,ARKLOW VALE,9772527,General Cargo Ship,PCZV,244750645,NL,NLRTM,13,"6,35","86,93",15,
638,ARKLOW VALIANT,9772541,General Cargo Ship,PBRP,244710091,NL,NLRTM,13,"6,35","86,93",15,
639,ARKLOW VALLEY,9772553,General Cargo Ship,PBBN,244710425,NL,NLRTM,13,"6,35","86,93",15,
640,ARKLOW VANGUARD,9772577,General Cargo Ship,PDAY,244050844,NL,NLRTM,13,"6,35","86,93",15,
641,ARKLOW VENUS,9772591,General Cargo Ship,PBBW,244140578,NL,NLRTM,13,"6,35","86,93",15,
642,ARKLOW VIEW,9772539,General Cargo Ship,PDDU,244870189,NL,NLRTM,13,"6,35","86,93",15,
643,ARKLOW VIKING,9772606,General Cargo Ship,PCTZ,244150648,NL,NLRTM,13,"6,35","86,93",15,
644,ARKLOW VILLA,9772618,General Cargo Ship,PCHO,244170690,NL,NLRTM,13,"6,35","86,93",15,
645,ARKLOW WAVE,9818931,General Cargo Ship,EIUQ9,250005382,IE,IEARK,13,"8,59","149,5","19,25",
646,ARKLOW WILLOW,9818955,General Cargo Ship,EIVV3,250005692,IE,IEARK,13,"8,59","149,5","19,25",
647,ARKLOW WIND,9818943,General Cargo Ship,EIUX5,250005461,IE,IEARK,13,"8,59","149,5","19,25",
648,ARKLOW WOOD,9818967,General Cargo Ship,EIWT5,250005932,IE,IEARK,13,"8,59","149,5","19,36",
649,ARMADA EXPLORER,9377042,Chemical/Products Tanker,UHJS,273311240,RU,RUTAG,11,"4,3","138,7","16,5",
650,ARMIA LUDOWA,8502535,"",9HXR6,636010708,LR,LRMLW,12,"10,65","195,33","25,35",
651,ARNOMENDI,9210684,Fishery Patrol Vessel,EBBT,224495000,ES,"",18,"6,3",67,11,
652,AROYAT,9151395,Bulk Carrier,9VMI7,511100616,PW,"",12,"9,12","148,17","22,8",
653,ARROW,9834583,Yacht,ZGKI4,319749522,KY,"",23,"3,95",75,"12,5",
654,ARROW,,"",FPG3,,BM,BMBDA,23,"2,53","28,5","6,56",
655,ARSLAND,9395989,Chemical/Products Tanker,9HPR9,249332000,MT,MTMLA,11,9,"144,05",23,
656,ARTABAZ,9283007,Container Ship (Fully Cellular),EPBZ5,422039100,IR,IRQSH,17,"11,4","207,4","29,8",
657,ARTANIA,8201480,Passenger/Cruise,C6CY5,311000608,BS,BSNAS,16,"7,8","230,61","29,2",
658,ARTEFACT,9804332,Yacht,V7SA5,538071148,MH,MHUIT,23,"4,2",80,"14,8",
659,ARTEMIS,9028627,Yacht,6YVI3,,JM,JMMBJ,23,"2,1","45,7","8,38",
660,ARTEMIS,9305532,Chemical/Products Tanker,YCKV2,525119095,ID,IDBLW,11,"11,22","182,55","27,34",
661,ARTEMIS,9594925,Bulk Carrier,3FYI4,354896000,PA,PAPTY,12,"14,5","229,1","32,26",
662,ARTEMIS LEADER,9355202,Vehicles Carrier,7KKD,431534000,JP,"",20,"10,33","199,94","32,26",2
663,ARTENOS,9283021,Container Ship (Fully Cellular),EPBZ6,422039200,IR,IRQSH,17,"11,4","207,4","29,8",
664,ARTISA,1013145,Yacht,ZGGI2,319116200,KY,"",23,"2,55","46,7","8,5",
665,ARTISAN,9779276,Yacht,ZGQI4,319229400,KY,"",23,"3,2",63,"10,6",
666,ARTOVA,8618059,"",3FOG2,355157000,PA,PAPTY,13,"5,25","100,62","14,17",
667,ARUCAS,9197492,General Cargo Ship,9HA3694,229887000,MT,MTMLA,13,"6,11","105,1","15,57",
668,ARUNA BERK,9543689,Bulk Carrier,V7A5486,538010027,MH,MHMAJ,12,"12,98","193,07","32,26",
669,ARUNA ECE,9635406,Bulk Carrier,V7ZB8,538004785,MH,MHMAJ,12,"12,87","187,88","32,26",
670,ARUNA HULYA,9635391,Bulk Carrier,V7YN9,538004696,MH,MHMAJ,12,"12,87","187,88","32,26",
671,ARUNA ISMAIL,9637296,Bulk Carrier,V7AI2,538004999,MH,MHMAJ,12,"12,8",188,"32,26",
672,ARVIA,9849693,Passenger/Cruise,MKXD8,232040520,GB,GBSOU,16,"8,8","344,5",42,
673,ARZIN,9284142,Container Ship (Fully Cellular),EPBZ4,422038900,IR,IRQSH,17,"11,4","207,4","29,8",
674,AS ALVA,9337030,Container Ship (Fully Cellular),A8PN7,636018502,LR,LRMLW,17,"11,5","191,03","28,5",
675,AS ANGELINA,9357092,Container Ship (Fully Cellular),CQIT8,255806066,PT,PTFNC,17,11,"204,42",28,
676,AS ANITA,9470961,Container Ship (Fully Cellular),A8TA6,636018745,LR,LRMLW,17,"11,35","189,49","27,6",
677,AS ARIES,9225421,"",D5IM8,636092638,LR,LRMLW,17,"11,5","194,06","28,25",
678,AS CALIFORNIA,9342695,Container Ship (Fully Cellular),CQAA2,255806116,PT,PTFNC,17,"12,02","222,2",30,
679,AS CAMELLIA,9314947,Container Ship (Fully Cellular),CQAA7,255806121,PT,PTFNC,17,12,"222,15",30,
680,AS CARELIA,9309409,Container Ship (Fully Cellular),CQIX2,255806092,PT,PTFNC,17,12,"222,14",30,
681,AS CAROLINA,9314935,Container Ship (Fully Cellular),CQAC7,255806137,PT,PTFNC,17,12,"222,15",30,
682,AS CASPRIA,9399753,Container Ship (Fully Cellular),A8OU5,636018035,LR,LRMLW,17,"12,2","225,16",31,
683,AS CASTOR,9127526,"",V7LZ6,538090284,MH,MHMAJ,17,"10,2","158,75","24,04",
684,AS CONSTANTINA,9308390,Container Ship (Fully Cellular),5LDH6,636093054,LR,LRMLW,17,"11,4","221,69","29,8",
685,AS FABIANA,9395109,Container Ship (Fully Cellular),CQIY4,255806102,PT,PTFNC,17,"9,5","166,15",25,
686,AS FATIMA,9437191,Container Ship (Fully Cellular),CQIT9,255806067,PT,PTFNC,17,"9,5","166,15",25,
687,AS FIORELLA,9395111,Container Ship (Fully Cellular),CQIU2,255806068,PT,PTFNC,17,"9,5","166,15",25,
688,AS FLORIANA,9437115,Container Ship (Fully Cellular),CQFU,255805622,PT,PTFNC,17,"9,5","166,15",25,
689,AS FRANZISKA,9295517,Container Ship (Fully Cellular),V2DH3,305213000,AG,AGSJO,17,"9,5","161,3",25,
690,AS FREYA,9292436,Container Ship (Fully Cellular),D5QK3,636092837,LR,LRMLW,17,"9,5","154,54","24,5",
691,AS MARS,9127502,"","",538090303,MH,MHMAJ,17,"10,2","158,75","24,04",
692,AS PALINA,9283693,Container Ship (Fully Cellular),A8JS6,636091130,LR,LRMLW,17,"11,5","210,05","30,2",
693,AS PAULINA,9286774,Container Ship (Fully Cellular),CQIV2,255806076,PT,PTFNC,17,"11,5","210,07","30,2",
694,AS PEGASUS,9134581,"",9HA3521,229690000,MT,MTMLA,17,"11,5","193,92","28,25",
695,AS PETRONIA,9286786,Container Ship (Fully Cellular),CQIT6,255806064,PT,PTFNC,17,"11,5","210,08","30,2",
696,AS ROSALIA,9449845,Container Ship (Fully Cellular),CQIX8,255806098,PT,PTFNC,17,"9,5","180,42",25,
697,AS SELINA,9516789,Container Ship (Fully Cellular),CQGE,255709000,PT,PTFNC,17,"10,9","175,47","27,4",
698,AS SILVER ATLAS,9355393,Chemical/Products Tanker,YDXX2,525121041,ID,IDJKT,11,"7,61","115,5","18,7",
699,AS SVENJA,9410284,Container Ship (Fully Cellular),D5PZ2,636092824,LR,LRMLW,17,"9,53","175,1","27,9",
700,ASCALON,9198226,Ro-Ro Cargo Ship,UBHU6,273219650,RU,"",20,"6,65","126,85",20,1
701,ASENA,9274628,Chemical/Products Tanker,TCA5668,271047067,TR,TRIST,11,"10,6","185,6",31,
702,ASH ADRIATIC,9614830,General Cargo Ship,V7A5056,538009698,MH,MHMAJ,13,"7,8","124,5",19,
703,ASH ATLANTIC,9470844,Bulk Carrier,V7JN8,538007470,MH,MHMAJ,12,"9,82","169,37","27,2",
704,ASHANTI,9319636,Tug,UBNW6,273294470,RU,"",22,"3,44","26,09","7,9",
705,ASIAN DYNASTY,9203588,Vehicles Carrier,D7NS,440058000,KR,KRCHA,20,10,"199,95","32,26",2
706,ASIAN EMPEROR,9176632,Vehicles Carrier,D7AG,441722000,KR,KRCHA,21,"10,02","199,98","32,26",2
707,ASIAN EMPIRE,9176606,Vehicles Carrier,D7ML,440114000,KR,KRCHA,21,"10,02","228,8","32,26",2
708,ASIAN GLORY,9174426,"",3FWD5,351128000,PA,PAPTY,11,"7,1","139,4","18,8",
709,ASIAN MAJESTY,9176759,Bulk Carrier,3EZQ3,374424000,PA,PAPTY,12,"13,77","224,8","32,2",
710,ASIAN MAJESTY,9203576,Vehicles Carrier,DSMZ8,441947000,KR,KRCHA,21,"10,02","228,78","32,26",2
711,ASIAN MOON,9359117,Container Ship (Fully Cellular),C4EQ2,209570000,CY,CYLMS,17,"8,51","147,8","23,25",
712,ASIAN PARADE,9122954,"",3FVA6,441993000,KR,KRCHA,21,"10,02","228,78","32,29",2
713,ASIAN PEARL,9266176,Bulk Carrier,HPED,351888000,PA,PAPTY,12,"11,93","189,8","32,26",
714,ASIAN TRUST,9203590,Vehicles Carrier,D8CX,441995000,KR,KRCHA,21,"10,02","198,98","32,26",2
715,ASIAN VISION,9122966,Vehicles Carrier,D8CU,441992000,KR,KRCHA,21,"11,69","199,98","32,26",2
716,ASIATIC NEPTUNE,9366469,Container Ship (Fully Cellular),9V3934,565626000,SG,SGSIN,17,"7,8","148,53","22,7",
717,ASIM BERK,9108427,General Cargo Ship,3EEG2,371039000,PA,PAPTY,13,"4,95","88,45","11,35",
718,ASIM IMAMOGLU,9357078,General Cargo Ship,TCOJ3,271000829,TR,TRIST,13,5,"89,13","12,5",
719,ASIR,9154531,"",D5MD6,636017667,LR,LRMLW,17,"12,5","276,5","32,3",
720,ASKARA,9431886,Chemical/Products Tanker,9HMO9,249187000,MT,MTMLA,11,"7,97","131,53","18,9",
721,ASKHOLMEN,9436381,Chemical/Products Tanker,V7RU4,538005552,MH,MHMAJ,11,9,144,"22,6",
722,ASKIO,9848649,Bulk Carrier,8PAS3,314483000,BB,BBBGI,12,"13,42","199,98","32,24",
723,ASL ELSA,9300623,Bulk Carrier,V7A4646,538009368,MH,MHMAJ,12,"12,17","188,5","32,26",
724,ASL JUPITER,9600633,Bulk Carrier,5LGB7,636021866,LR,LRMLW,12,"14,52","229,02","32,26",
725,ASL LUNA,9662423,Open Hatch Cargo Ship,V7CD2,538005243,MH,MHMAJ,12,"10,85","177,8","28,6",
726,ASLI ELIF,9349021,General Cargo Ship,TCOJ9,271000833,TR,TRIST,13,"5,76","88,83",13,
727,ASLIHAN,9191278,General Cargo Ship,YJXJ6,577566000,VU,VUVLI,13,"5,67","99,9","12,8",
728,ASMAR,8918708,General Cargo Ship,V4VE4,341639000,KN,KNBAS,13,"7,22","109,7","17,8",
729,ASPHALT ALLIANCE,9287883,Asphalt/Bitumen Tanker,3E2200,352002037,PA,PAPTY,11,"6,48","105,5","16,8",
730,ASPHODEL,8316467,"",A8LL2,636013217,LR,LRMLW,12,"10,54","176,99","23,14",
731,ASSIMINA II,9300855,Bulk Carrier,D5CO8,636015750,LR,LRMLW,12,"9,79","178,7",28,
732,ASTELLA,9587843,Chemical/Products Tanker,FJVJ,228079600,FR,FRMRS,11,"11,52",184,"27,4",
733,ASTER ALVAR,9528902,Chemical/Products Tanker,CQEH5,255806384,PT,PTFNC,11,"8,5","129,6","19,21",
734,ASTERIA LEADER,9531741,Vehicles Carrier,7KIE,431024000,JP,"",21,"10,33","199,94","32,26",2
735,ASTERION,9595125,Chemical/Products Tanker,FICK,226000000,FR,FRMRS,11,"11,5",184,"27,4",
736,ASTERION,9729908,Bulk Carrier,D5NY6,636018052,LR,LRMLW,12,"14,45","229,07","32,26",
737,ASTON I,9225328,"",3ETM2,371838000,PA,PAPTY,11,"11,02",183,"27,4",
738,ASTOR,8506373,"",C6JR3,308214000,BS,BSNAS,16,"6,15","176,26","22,61",
739,ASTORIA,5383304,Passenger/Cruise,CQRV,255801380,PT,PTFNC,16,"7,62","160,08","21,04",
740,ASTORIA GRANDE,9112789,Passenger/Cruise,T8A3965,511100759,PW,"",16,"6,2","193,34","27,6",
741,ASTRAL,,"",JAV8,235105994,GB,GBLON,23,2,"23,92","7,22",
742,ASTRAL ACE,9182368,Vehicles Carrier,7JUJ,353307000,JP,"",21,"8,52","174,98","29,2",3
743,ASTREA,9488839,Chemical/Products Tanker,SBDA,266466000,SE,SEDON,11,"8,15","129,5","19,8",
744,ASTRID,9195717,General Cargo Ship,5BQD5,210100000,CY,CYLMS,13,"5,42","88,6","12,5",
745,ASTRID CONROY,1008487,Yacht,MMFU9,352001992,PA,PAPTY,23,"3,5",58,10,
746,ASUKA II,8806204,Passenger/Cruise,C6IP2,432545000,JP,JPYOK,16,8,"240,96","29,6",
747,ASYA,1012440,Yacht,ZGEO6,319564000,KY,"",23,"2,85","46,7","8,5",
748,AT 27,9136539,Bulk Carrier,T8A3775,511100611,PW,"",12,"9,79","169,51","25,5",
749,ATACAMA,9248801,Products Tanker,V4SW4,341523000,KN,KNBAS,11,"11,1",176,31,
750,ATALANTA T,9450789,Products Tanker,V7JQ4,538008124,MH,MHMAJ,11,"12,07","179,88","32,2",
751,ATALAYA TMA,9369291,General Cargo Ship,EBUX,224584000,ES,ESSCT,13,"6,54","118,14","15,9",
752,ATENES,9039937,Tug,EAHC,225984520,ES,ESSCT,22,"3,91","28,85","8,7",
753,ATHENA,1007237,Yacht (Sailing),ZCNP,319012000,KY,"",23,"3,19","79,2","12,02",
754,ATHENA,9275361,Container Ship (Fully Cellular),HOXI,357231000,PA,PAPTY,17,"12,52","234,8","32,2",
755,ATHENIAN,9408865,Container Ship (Fully Cellular),D5NV8,636018028,LR,LRMLW,17,"15,02","349,65","45,6",
756,ATHENS HIGHWAY,9443073,Vehicles Carrier,7JPL,432930000,JP,JPUKB,21,"10,02","199,97","32,26",3
757,ATHENS TRADER,9070175,"",9HA2766,215604000,MT,MTMLA,17,"11,5","196,36","32,3",
758,ATHERINA,9403152,Bulk Carrier,9HA4595,248289000,MT,MTMLA,12,"12,83","189,99","32,26",
759,ATHINA M,9644237,Chemical/Products Tanker,SVBW9,241294000,GR,GRPIR,11,"13,32",183,"32,2",
760,ATHINA P,8734401,Passenger/Ro-Ro Ship (Vehicles),SY6082,237932700,GR,GRPIR,15,"2,35","83,55",20,2
761,ATHLOS,9700483,Chemical/Products Tanker,D5IO2,636016947,LR,LRMLW,11,"13,29","183,03","32,2",
762,ATHOS,9406738,Container Ship (Fully Cellular),D5NX2,636018037,LR,LRMLW,17,"15,02","349,65","45,6",
763,ATINA,1010296,Yacht,ZCXM3,319956000,KY,"",23,"2,45","46,7","8,5",
764,ATLANTIC BRIDGE,9351115,Container Ship (Fully Cellular),9V7910,563152700,SG,SGSIN,13,"7,75","126,86","20,4",
765,ATLANTIC CROWN,9332169,Chemical/Products Tanker,VRDB8,477926500,HK,HKHKG,11,"12,21","183,21","32,2",
766,ATLANTIC DISCOVERER,9243590,Container Ship (Fully Cellular),V7AO9,538007677,MH,MHMAJ,17,"11,5","207,96","32,24",
767,ATLANTIC EAST,9433444,Container Ship (Fully Cellular),9V8006,563158700,SG,SGSIN,17,"7,4","129,58","20,6",
768,ATLANTIC ENERGY,7702401,"",D8SY,,KR,KRCHA,11,"11,22","286,85","41,8",
769,ATLANTIC EXPRESS,9330850,Container Ship (Fully Cellular),9V8095,563159300,SG,SGSIN,17,"8,51","147,87","23,25",
770,ATLANTIC FALCON,9789257,Chemical/Products Tanker,V7N15,538008116,MH,MHMAJ,11,"13,32","183,06","32,2",
771,ATLANTIC GAS,9662019,LPG Tanker,OWMB2,219302000,DK,DKCPH,14,11,"159,7","26,6",
772,ATLANTIC GENEVA,9330848,Container Ship (Fully Cellular),9V7920,563155800,SG,SGSIN,17,"8,51","147,84","23,25",
773,ATLANTIC GREEN,9354404,Container Ship (Fully Cellular),9HA4065,249037000,MT,MTMLA,17,"8,71","134,44","22,5",
774,ATLANTIC GUARD,9789269,Chemical/Products Tanker,V7A2284,538008368,MH,MHMAJ,11,"13,32","183,06","32,2",
775,ATLANTIC HARMONY,9797747,Chemical/Products Tanker,V7NF8,538007428,MH,MHMAJ,11,"13,3","183,06","32,2",
776,ATLANTIC HORIZON,9303106,Bulk Carrier,3EDR2,311010300,BS,BSNAS,12,14,225,"32,26",
777,ATLANTIC HORIZON,9341744,General Cargo Ship,5BEK2,212772000,CY,CYLMS,13,"6,25","110,78",14,
778,ATLANTIC ISLAND,9259044,General Cargo Ship,C4VM2,210754000,CY,CYLMS,13,"5,8","95,3","13,35",
779,ATLANTIC LAUREL,9494747,Bulk Carrier,3FGO3,373071000,PA,PAPTY,12,"9,77","178,41","29,4",
780,ATLANTIC MARBLE,9798959,Chemical/Products Tanker,V7MJ4,538007896,MH,MHMAJ,11,"13,3","183,06","32,2",
781,ATLANTIC MERCHANT,9002673,"",3FWG,372075000,PA,PAPTY,12,"19,11","324,02","58,05",
782,ATLANTIC MERCHANT,9378929,Container Ship (Fully Cellular),9V7597,563143700,SG,SGSIN,17,"8,51","147,8","23,25",
783,ATLANTIC MONACO,9356658,Container Ship (Fully Cellular),9V7596,563143500,SG,SGSIN,17,"8,25","146,4","22,6",
784,ATLANTIC MUSE,9374301,Chemical/Products Tanker,VREZ4,477201100,HK,HKHKG,11,"13,15",183,"32,2",
785,ATLANTIC NORTH,9236597,Container Ship (Fully Cellular),9V8007,563157600,SG,SGSIN,17,"10,2","158,75",24,
786,ATLANTIC OLIVE,9354909,Chemical/Products Tanker,VREF8,477110600,HK,HKHKG,11,"12,77","183,21","32,2",
787,ATLANTIC PIONEER,9388417,Container Ship (Fully Cellular),9V7919,563155300,SG,SGSIN,13,"7,75",127,"20,4",
788,ATLANTIC POLARIS,9392779,Chemical/Products Tanker,VRFA2,477201500,HK,HKHKG,11,"12,77","183,21","32,2",
789,ATLANTIC SILVER,9396622,Container Ship (Fully Cellular),9V7600,563143600,SG,SGSIN,17,"9,5","161,3",25,
790,ATLANTIC SOUTH,9414137,Container Ship (Fully Cellular),9V8010,563158200,SG,SGSIN,17,"7,65","132,7","19,2",
791,ATLANTIC SPIRIT,9580974,Chemical/Products Tanker,V7A2857,,MT,MTMLA,11,9,"161,68",23,
792,ATLANTIC STAR,9337523,Chemical/Products Tanker,VRDT6,477047800,HK,HKHKG,11,"12,77","183,21","32,2",
793,ATLANTIC T,9403322,Products Tanker,V7A2328,538008412,MH,MHMAJ,11,"12,07","179,88","32,2",
794,ATLANTIC TITAN,9360324,Chemical/Products Tanker,VREQ4,477163800,HK,HKHKG,11,"12,77","183,21","32,2",
795,ATLANTIC WEST,9396610,Container Ship (Fully Cellular),9V8018,563157700,SG,SGSIN,17,"9,5","161,3",25,
796,ATLANTIC WIND,9341316,Chemical/Products Tanker,ZDNM4,236111974,GI,GIGIB,11,"8,7","149,6",22,
797,ATLANTICA BRAVE,9397468,Chemical/Products Tanker,V7A4827,538009508,MH,MHMAJ,11,"13,13",183,"32,2",
798,ATLANTICA BREEZE,9379129,Chemical/Products Tanker,D5TR6,636019261,LR,LRMLW,11,"12,22","183,05","32,2",
799,ATLANTIS,8721533,General Cargo Ship,V3NZ7,312341000,BZ,BZBZE,13,"4,13","115,96",13,
800,ATLANTIS,9264740,Container Ship (Fully Cellular),V2BF5,304535000,AG,AGSJO,17,"7,22","132,6","19,2",
801,ATLANTIS A,9354375,Container Ship (Fully Cellular),CQIG6,255805954,PT,PTFNC,17,"8,71","134,44","22,5",
802,ATLANTIS ALHAMBRA,9508110,Chemical/Products Tanker,9HA2101,249960000,MT,MTMLA,11,"6,65",109,"16,8",
803,ATLANTIS ALICANTE,9390874,Chemical/Products Tanker,9HA4600,248295000,MT,MTMLA,11,"6,29","105,5","16,8",
804,ATLANTIS ALMERIA,9508093,Chemical/Products Tanker,9HA2382,248483000,MT,MTMLA,11,"6,65",109,"16,8",
805,ATLANTIS ALVARADO,9268174,Chemical/Products Tanker,9HA2203,248145000,MT,MTMLA,11,"5,7","92,86","14,1",
806,ATLANTIS ANDAMAN,9508079,Chemical/Products Tanker,9HYK9,249701000,MT,MTMLA,11,"6,65",109,"16,8",
807,ATLANTIS ANTALYA,9305350,Chemical/Products Tanker,9HA2286,248252000,MT,MTMLA,11,"5,95","88,42",13,
808,ATLANTIS ANTAO,9316012,Chemical/Products Tanker,D4HS,617112000,CV,CVVXE,11,"5,69","92,86","14,1",
809,ATLANTIS ANTIBES,9508108,Chemical/Products Tanker,9HYJ9,249702000,MT,MTMLA,11,"6,29","105,5","16,8",
810,ATLANTIS ARACELI,9367243,Chemical/Products Tanker,9HJM9,248080000,MT,MTMLA,11,"6,35","107,6",16,
811,ATLANTIS ARKI,9367255,Chemical/Products Tanker,9HNH9,248079000,MT,MTMLA,11,6,"107,6",16,
812,ATLANTIS ARMONA,9268162,Chemical/Products Tanker,9HA2518,248793000,MT,MTMLA,11,"5,7","92,86","14,1",
813,ATLANTIS AUGUSTA,9390862,Chemical/Products Tanker,9HA4543,248167000,MT,MTMLA,11,"6,29","105,5","16,8",
814,ATLAS,9538177,Chemical/Products Tanker,C6AS2,311000134,BS,BSNAS,11,"10,5",183,31,
815,ATLAS HIGHWAY,8612251,"",ELJT6,636008621,LR,LRMLW,21,"9,12","179,99","32,24",3
816,ATLAS LEADER,9531739,Vehicles Carrier,7JHL,432783000,JP,JPTYO,21,"10,33","199,94","32,26",2
817,ATLAS STAR,9376828,Chemical/Products Tanker,9HA5662,256024000,MT,MTMLA,11,"11,62","182,81","27,4",
818,ATLAS T,9441855,Products Tanker,V7A4682,538009396,MH,MHMAJ,11,"12,62","179,99","32,2",
