Terminal ABR;Terminal;Any;Mes;Dia;Data;Rang_Data;Tiempo_acceso_reserva;Tiempo_acceso
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;2;2021/01/02;23:40 - 00:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;00:00 - 00:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;00:20 - 00:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;00:40 - 01:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;01:00 - 01:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;01:20 - 01:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;01:40 - 02:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;02:00 - 02:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;02:20 - 02:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;02:40 - 03:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;03:00 - 03:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;03:20 - 03:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;03:40 - 04:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;04:00 - 04:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;04:20 - 04:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;04:40 - 05:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;05:00 - 05:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;05:20 - 05:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;05:40 - 06:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;06:00 - 06:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;06:20 - 06:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;06:40 - 07:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;07:00 - 07:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;07:20 - 07:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;07:40 - 08:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;08:00 - 08:20;16,10556667;16,10556667
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;08:20 - 08:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;08:40 - 09:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;09:00 - 09:20;1,55;1,55
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;09:20 - 09:40;1,6;1,6
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;09:40 - 10:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;10:00 - 10:20;0,975;0,975
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;10:20 - 10:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;10:40 - 11:00;0,85;0,85
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;11:00 - 11:20;1,3167;1,3167
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;11:20 - 11:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;11:40 - 12:00;1,5;1,5
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;12:00 - 12:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;12:20 - 12:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;12:40 - 13:00;1,86665;1,86665
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;13:00 - 13:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;13:20 - 13:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;13:40 - 14:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;14:00 - 14:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;14:20 - 14:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;14:40 - 15:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;15:00 - 15:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;15:20 - 15:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;15:40 - 16:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;16:00 - 16:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;16:20 - 16:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;16:40 - 17:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;17:00 - 17:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;17:20 - 17:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;17:40 - 18:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;18:00 - 18:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;18:20 - 18:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;18:40 - 19:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;19:00 - 19:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;19:20 - 19:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;19:40 - 20:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;20:00 - 20:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;20:20 - 20:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;20:40 - 21:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;21:00 - 21:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;21:20 - 21:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;21:40 - 22:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;22:00 - 22:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;22:20 - 22:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;22:40 - 23:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;23:00 - 23:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;23:20 - 23:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;3;2021/01/03;23:40 - 00:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;00:00 - 00:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;00:20 - 00:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;00:40 - 01:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;01:00 - 01:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;01:20 - 01:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;01:40 - 02:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;02:00 - 02:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;02:20 - 02:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;02:40 - 03:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;03:00 - 03:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;03:20 - 03:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;03:40 - 04:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;04:00 - 04:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;04:20 - 04:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;04:40 - 05:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;05:00 - 05:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;05:20 - 05:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;05:40 - 06:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;06:00 - 06:20;6,615628125;6,615628125
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;06:20 - 06:40;3,707847059;3,707847059
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;06:40 - 07:00;4,104540909;4,104540909
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;07:00 - 07:20;3,276078261;3,276078261
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;07:20 - 07:40;5,309720833;5,309720833
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;07:40 - 08:00;4,113729412;4,113729412
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;08:00 - 08:20;5,9514;5,9514
APMT;APM TERMINALS BARCELONA, S.L.U;2021;1;4;2021/01/04;08:20 - 08:40;7,312823077;7,312823077
