Terminal ABR;Terminal;Data (any);Data (mes);Data (dia del mes);Data;Rang Data;Temps Accés Reserva;Temps Accés
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;15:00 - 15:20;;62,65682273
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;15:20 - 15:40;;54,69215882
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;15:40 - 16:00;;71,92167
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;16:00 - 16:20;;64,3693
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;16:20 - 16:40;;59,87825652
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;16:40 - 17:00;;60,80217826
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;17:00 - 17:20;;68,30694583
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;17:20 - 17:40;;61,278125
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;17:40 - 18:00;;59,64445
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;18:00 - 18:20;;58,65729375
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;18:20 - 18:40;;59,97866
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;18:40 - 19:00;;35,91334
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;19:00 - 19:20;;18,84583333
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;19:20 - 19:40;;5,4083
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;05:40 - 06:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;06:00 - 06:20;;7,097766667
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;06:20 - 06:40;;5,691038462
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;06:40 - 07:00;;5,520377778
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;07:00 - 07:20;;4,219441667
